Address,USB0::0x2A8D::0x3702::MY61001265::0::INSTR,
Model,EL33133A,
Serial Number:,MY61001265,
Firmware Version,1.2.9-1.0.6-17-114,
Start Time,2025-03-27 15:17:58.557,
Stop Time,2025-03-27 15:51:31.230,
Sample Period (s),0.5,
,,
Time (s) (s),V1 (DCVolt),P1 (Power)
2025-03-27 15:21:46.404,2.861507,2.861492
2025-03-27 15:21:46.922,2.861465,2.861074
2025-03-27 15:21:47.439,2.860813,2.86052
2025-03-27 15:21:47.958,2.861211,2.860813
2025-03-27 15:21:48.474,2.860764,2.860605
2025-03-27 15:21:48.993,2.860352,2.860118
2025-03-27 15:21:49.511,2.860422,2.860196
2025-03-27 15:21:50.029,2.860042,2.86028
2025-03-27 15:21:50.546,2.860113,2.860234
2025-03-27 15:21:51.063,2.859548,2.859085
2025-03-27 15:21:51.581,2.859548,2.859085
2025-03-27 15:21:51.581,2.859413,2.859055
2025-03-27 15:21:52.099,2.859336,2.858876
2025-03-27 15:21:52.617,2.858842,2.858497
2025-03-27 15:21:53.134,2.858863,2.858885
2025-03-27 15:21:53.652,2.858679,2.858486
2025-03-27 15:21:54.169,2.858444,2.858196
2025-03-27 15:21:54.687,2.858069,2.857745
2025-03-27 15:21:55.205,2.857483,2.857727
2025-03-27 15:21:55.723,2.857857,2.857622
2025-03-27 15:21:56.241,2.857867,2.857605
2025-03-27 15:21:56.758,2.857566,2.857351
2025-03-27 15:21:57.276,2.85761,2.857322
2025-03-27 15:21:57.793,2.857229,2.85697
2025-03-27 15:21:58.311,2.856313,2.856474
2025-03-27 15:21:58.829,2.855906,2.855954
2025-03-27 15:21:59.347,2.856266,2.855796
2025-03-27 15:21:59.865,2.855807,2.85562
2025-03-27 15:22:00.382,2.855476,2.855024
2025-03-27 15:22:00.900,2.855081,2.854698
2025-03-27 15:22:01.417,2.855016,2.854775
2025-03-27 15:22:01.936,2.85496,2.854229
2025-03-27 15:22:02.453,2.854867,2.854357
2025-03-27 15:22:02.971,2.853891,2.854303
2025-03-27 15:22:03.489,2.854144,2.854496
2025-03-27 15:22:04.006,2.854305,2.853914
2025-03-27 15:22:04.524,2.853945,2.853874
2025-03-27 15:22:05.041,2.85382,2.853837
2025-03-27 15:22:05.559,2.853742,2.853599
2025-03-27 15:22:06.077,2.853742,2.853599
2025-03-27 15:22:06.077,2.853637,2.853479
2025-03-27 15:22:06.595,2.853399,2.853176
2025-03-27 15:22:07.113,2.853066,2.852891
2025-03-27 15:22:07.630,2.853287,2.852736
2025-03-27 15:22:08.149,2.852859,2.852479
2025-03-27 15:22:08.665,2.852248,2.851834
2025-03-27 15:22:09.184,2.852099,2.852009
2025-03-27 15:22:09.701,2.851779,2.85174
2025-03-27 15:22:10.219,2.851537,2.851259
2025-03-27 15:22:10.736,2.851413,2.851612
2025-03-27 15:22:11.254,2.850951,2.850768
2025-03-27 15:22:11.772,2.85045,2.850317
2025-03-27 15:22:12.290,2.850399,2.850466
2025-03-27 15:22:12.808,2.850207,2.850188
2025-03-27 15:22:13.325,2.850167,2.849817
2025-03-27 15:22:13.843,2.850081,2.849768
2025-03-27 15:22:14.361,2.84935,2.849777
2025-03-27 15:22:14.879,2.849888,2.849271
2025-03-27 15:22:15.397,2.849587,2.849566
2025-03-27 15:22:15.915,2.84917,2.848901
2025-03-27 15:22:16.432,2.849055,2.848854
2025-03-27 15:22:16.950,2.848873,2.848608
2025-03-27 15:22:17.468,2.848318,2.848436
2025-03-27 15:22:17.985,2.848528,2.848488
2025-03-27 15:22:18.503,2.848438,2.84841
2025-03-27 15:22:19.020,2.847801,2.847301
2025-03-27 15:22:19.538,2.847328,2.847139
2025-03-27 15:22:20.055,2.847505,2.847497
2025-03-27 15:22:20.574,2.847505,2.847497
2025-03-27 15:22:20.574,2.847058,2.84689
2025-03-27 15:22:21.091,2.846474,2.846315
2025-03-27 15:22:21.609,2.846726,2.847232
2025-03-27 15:22:22.127,2.846598,2.846138
2025-03-27 15:22:22.645,2.846592,2.846308
2025-03-27 15:22:23.163,2.846369,2.845829
2025-03-27 15:22:23.680,2.845697,2.84601
2025-03-27 15:22:24.198,2.845744,2.845698
